scene,node_id,token,section,speaker,text,delivery,portraitAssetId
2,red-tapes-red-side-open,red-tapes-red-side-open:pre:5,pre,Baby Momma,Blue. Go find a task. You circling this table like accountability only got one address.,present-day speech,assets/characters/baby-momma.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:pre:6,pre,Ganger Red,"I'm first. Middle district closes in round three, both sides. The canopy crew needs the space.",present-day speech,assets/characters/ganger-red.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:pre:7,pre,Cornball,They said they needed the space from eight this morning. Red said wait till he looks difficult.,present-day speech,assets/characters/cornball.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:pre:8,pre,Ganger Red,Put your deck down. Somebody here is still going to finish what they started.,present-day speech,assets/characters/ganger-red.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:post:0,post,Ganger Red,First table cleared. Your Crown was not a fluke.,present-day speech,assets/characters/ganger-red.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:post:1,post,Ganger Blue,Write that on the banner. Use the expensive marker.,present-day speech,assets/characters/ganger-blue.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:post:2,post,Baby Momma,"After the next two tables, you're coming to the back room. No phones.",present-day speech,assets/characters/baby-momma.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:post:3,post,Ganger Red,I'll be there.,present-day speech,assets/characters/ganger-red.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:post:4,post,Baby Momma,You been a lot of places you should've been talking. Try doing both.,present-day speech,assets/characters/baby-momma.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:post:5,post,Cornball,Next table's mine. Keep your wristband. The cheese has terms.,present-day speech,assets/characters/cornball.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:defeat:0,defeat,Ganger Red,Round three. Middle district. I put it on a sign and everything.,present-day speech,assets/characters/ganger-red.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:pre:0,pre,Cornball,Welcome to Cornball's Liquid Gold. Basic gets chips. Premium gets eye contact.,present-day speech,assets/characters/cornball.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:pre:1,pre,Wifey,Why does your cheese have a cancellation policy?,present-day speech,assets/characters/wifey.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:pre:2,pre,Cornball,Recurring revenue. Snitch said think bigger.,present-day speech,assets/characters/cornball.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:pre:3,pre,Wifey,You put a subscription on a dairy product.,present-day speech,assets/characters/wifey.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:pre:4,pre,Cornball,Don't reduce my company to its ingredients.,present-day speech,assets/characters/cornball.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:pre:5,pre,Ganger Blue,I'm not paying nine dollars to unlock a ladle.,present-day speech,assets/characters/ganger-blue.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:pre:6,pre,Cornball,The ladle is infrastructure. The vision is free.,present-day speech,assets/characters/cornball.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:pre:7,pre,Wifey,The card match is free too. Before you try to bundle it.,present-day speech,assets/characters/wifey.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:pre:8,pre,Cornball,Table two. I move cards around. Pay attention. Unlike the people who ignored my sauce survey.,present-day speech,assets/characters/cornball.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:post:0,post,Cornball,Okay. I lost the match. The company remains confident.,present-day speech,assets/characters/cornball.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:post:1,post,Wifey,Your company has formed a skin.,present-day speech,assets/characters/wifey.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:post:2,post,Cornball,That's the protective layer. Premium customers get underneath it.,present-day speech,assets/characters/cornball.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:post:3,post,Ganger Blue,Why the hell is the dispenser breathing?,present-day speech,assets/characters/ganger-blue.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:post:4,post,Cornball,Because the cheese is alive with opportunity.,present-day speech,assets/characters/cornball.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:post:5,post,Wifey,Unplug it. Stamp their card. In that order.,present-day speech,assets/characters/wifey.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:post:6,post,Cornball,Second table cleared. Don't put my loss on the business page.,present-day speech,assets/characters/cornball.webp
3,red-tapes-cheese-has-terms,red-tapes-cheese-has-terms:defeat:0,defeat,Cornball,That's a loss. Rematch is free. Emotional recovery is on the deluxe menu.,present-day speech,assets/characters/cornball.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:pre:0,pre,Snitch,Welcome back. Last night a dead man made the finals. Today we're asking the difficult questions.,present-day speech,assets/characters/snitch.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:pre:1,pre,Wifey,First question. Why are you selling seats facing a closed door?,present-day speech,assets/characters/wifey.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:pre:2,pre,Snitch,Anticipation package. Premium gets to hear a chair scrape.,present-day speech,assets/characters/snitch.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:pre:3,pre,Baby Momma,You heard what I said about my business being an entrance.,present-day speech,assets/characters/baby-momma.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:pre:4,pre,Snitch,I ain't even got the recording. I'm covering the cultural impact.,present-day speech,assets/characters/snitch.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:pre:5,pre,Baby Momma,Cover that sign before I turn your cultural impact into a folding-table situation.,present-day speech,assets/characters/baby-momma.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:pre:6,pre,Snitch,Fine. Sports. We are doing sports.,present-day speech,assets/characters/snitch.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:pre:7,pre,Snitch,"Table three. Little boost in round three, another in five. Growth strategy.",present-day speech,assets/characters/snitch.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:pre:8,pre,Wifey,One extra Motion each time. Two boosts. Zero mystique.,present-day speech,assets/characters/wifey.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:post:0,post,Snitch,Third table cleared. This footage may require some color correction.,present-day speech,assets/characters/snitch.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:post:1,post,Wifey,The color is you losing.,present-day speech,assets/characters/wifey.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:post:2,post,Ganger Red,Stop pointing a camera at that door. I knew he was alive. She didn't. That's all you're getting from me out here.,present-day speech,assets/characters/ganger-red.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:post:3,post,Snitch,"Red. Say that first bit again, facing the light.",present-day speech,assets/characters/snitch.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:post:4,post,Ganger Red,No. Keep the sentence together.,present-day speech,assets/characters/ganger-red.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:post:5,post,Baby Momma,"Come on, Red. You got a room full of consequences waiting.",present-day speech,assets/characters/baby-momma.webp
4,red-tapes-pay-per-view,red-tapes-pay-per-view:defeat:0,defeat,Snitch,People are asking if you meant to do that. Come back and give me a different ending.,present-day speech,assets/characters/snitch.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:0,main,Church Auntie,Sit down. I brought plates because this family cannot digest a fact on an empty stomach.,present-day speech,assets/characters/church-auntie.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:1,main,All Jokes Roaster,"Red, you sweating through the apology already. We ain't even opened the lid.",present-day speech,assets/characters/all-jokes-roaster.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:2,main,Baby Momma,"That's my little brother. Same mama. Unfortunately, unlimited commentary.",present-day speech,assets/characters/baby-momma.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:3,main,All Jokes Roaster,I'm here for emotional support and whatever happens to his confidence.,present-day speech,assets/characters/all-jokes-roaster.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:4,main,Ganger Red,I paid the rent one month. Groceries when I could. I thought keeping things steady was helping.,present-day speech,assets/characters/ganger-red.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:5,main,Baby Momma,You let me think the whole block remembered him better than I did.,present-day speech,assets/characters/baby-momma.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:6,main,Ganger Red,I didn't know how to tell you.,present-day speech,assets/characters/ganger-red.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:7,main,Baby Momma,You open your mouth. You used it to ask what size diapers. It worked then.,present-day speech,assets/characters/baby-momma.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:8,main,All Jokes Roaster,Express shipping on the wipes. Four-year delay on the truth. Nasty warehouse operation.,present-day speech,assets/characters/all-jokes-roaster.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:9,main,Ganger Red,I was told leaving it alone was safer.,present-day speech,assets/characters/ganger-red.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:10,main,Baby Momma,By who?,present-day speech,assets/characters/baby-momma.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:11,main,Ganger Red,Someone I should have questioned. I need to speak to him first.,present-day speech,assets/characters/ganger-red.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:12,main,Baby Momma,You already gave him four years of first.,present-day speech,assets/characters/baby-momma.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:13,main,Church Auntie,"Answer her, son. You can't cover a lie with a serving tray.",present-day speech,assets/characters/church-auntie.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:14,main,Ganger Red,Let me tell him I'm bringing you. He is going to hear this with you in the room.,present-day speech,assets/characters/ganger-red.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:15,main,Wifey,"If you're promising that, don't make her collect it.",present-day speech,assets/characters/wifey.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:16,main,Baby Momma,After the final. We go together. The recorder stays with me.,present-day speech,assets/characters/baby-momma.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:17,main,Ganger Red,It stays with you. I should have brought it the first day.,present-day speech,assets/characters/ganger-red.webp
5,red-tapes-the-wrong-person,red-tapes-the-wrong-person:main:18,main,Baby Momma,You should have brought it before there was a second.,present-day speech,assets/characters/baby-momma.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:pre:0,pre,All Jokes Roaster,Table four. I was supposed to roast the champion. Then my sister's past walked in wearing a haunted junk drawer.,present-day speech,assets/characters/all-jokes-roaster.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:pre:1,pre,Ganger Blue,Keep my brother out of—,present-day speech,assets/characters/ganger-blue.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:pre:2,pre,All Jokes Roaster,Keep him? Y'all couldn't FIND him.,present-day speech,assets/characters/all-jokes-roaster.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:pre:3,pre,Baby Momma,You are not using my life as your comedy special.,present-day speech,assets/characters/baby-momma.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:pre:4,pre,All Jokes Roaster,I'm defending you.,present-day speech,assets/characters/all-jokes-roaster.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:pre:5,pre,Baby Momma,You printed tickets.,present-day speech,assets/characters/baby-momma.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:pre:6,pre,All Jokes Roaster,For the community to witness the defense.,present-day speech,assets/characters/all-jokes-roaster.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:pre:7,pre,Baby Momma,Play the match.,present-day speech,assets/characters/baby-momma.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:pre:8,pre,All Jokes Roaster,Fine. No mic. My deck still got something to say. Don't stack your whole ego in one district.,present-day speech,assets/characters/all-jokes-roaster.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:post:0,post,All Jokes Roaster,Fourth table cleared. You won a card game. Do not let Snitch caption it like you raised me.,present-day speech,assets/characters/all-jokes-roaster.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:post:1,post,Ganger Blue,You need a quiet place to process that? There's an empty VIP section by the door.,present-day speech,assets/characters/ganger-blue.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:post:2,post,Baby Momma,You two done making a timeshare out of the last word?,present-day speech,assets/characters/baby-momma.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:post:3,post,All Jokes Roaster,I'm done. You need anything carried?,present-day speech,assets/characters/all-jokes-roaster.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:post:4,post,Baby Momma,The covered plates. To the volunteers. That's help.,present-day speech,assets/characters/baby-momma.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:post:5,post,All Jokes Roaster,Say less.,present-day speech,assets/characters/all-jokes-roaster.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:post:6,post,Baby Momma,That's what I've been trying to get you to do.,present-day speech,assets/characters/baby-momma.webp
6,red-tapes-roast-with-a-receipt,red-tapes-roast-with-a-receipt:defeat:0,defeat,All Jokes Roaster,You had a plan. I could tell by how upset you got when it left. Run it back.,present-day speech,assets/characters/all-jokes-roaster.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:pre:0,pre,Ganger Blue,My wife don't play around.,present-day speech,assets/characters/ganger-blue.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:pre:1,pre,Wifey,Your wife would like to play at all. Move the cooler.,present-day speech,assets/characters/wifey.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:pre:2,pre,Baby Momma,I got check-in. Sit down before somebody asks you to alphabetize the weather.,present-day speech,assets/characters/baby-momma.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:pre:3,pre,Wifey,Thank you. Table five. My name was on this list before Blue discovered electricity.,present-day speech,assets/characters/wifey.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:pre:4,pre,Ganger Blue,I was trying to compliment you.,present-day speech,assets/characters/ganger-blue.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:pre:5,pre,Wifey,Then tell them my name without putting MY in front of it.,present-day speech,assets/characters/wifey.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:pre:6,pre,Baby Momma,Get her a chair with a back. That one requires an explanation.,present-day speech,assets/characters/baby-momma.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:pre:7,pre,Wifey,I've got one extra card in my opening hand. You'll see it in the briefing.,present-day speech,assets/characters/wifey.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:pre:8,pre,Wifey,And protection in this deck. Don't throw your biggest effect at the first thing that annoys you.,present-day speech,assets/characters/wifey.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:pre:9,pre,Ganger Blue,That's good life advice too.,present-day speech,assets/characters/ganger-blue.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:pre:10,pre,Wifey,So is 'move the cooler.' We're all learning.,present-day speech,assets/characters/wifey.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:post:0,post,Wifey,Fifth table cleared. You kept your head. That's rarer than everybody's card collection.,present-day speech,assets/characters/wifey.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:post:1,post,Baby Momma,You played good. You should get to do that more.,present-day speech,assets/characters/baby-momma.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:post:2,post,Wifey,I should.,present-day speech,assets/characters/wifey.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:post:3,post,Baby Momma,You ever get tired of being the one everybody trusts to hold things together?,present-day speech,assets/characters/baby-momma.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:post:4,post,Wifey,Yeah.,present-day speech,assets/characters/wifey.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:post:5,post,Baby Momma,Then don't let them make you carry what's theirs.,present-day speech,assets/characters/baby-momma.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:post:6,post,Wifey,I'll try.,present-day speech,assets/characters/wifey.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:post:7,post,Ganger Blue,I moved the cooler.,present-day speech,assets/characters/ganger-blue.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:post:8,post,Wifey,Good. Now take the applause you were expecting and use it to move the other one.,present-day speech,assets/characters/wifey.webp
7,red-tapes-side-eye-security,red-tapes-side-eye-security:defeat:0,defeat,Wifey,You hit the protection and looked surprised it protected something. Take a breath.,present-day speech,assets/characters/wifey.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:0,pre,Cracked Head,I brought a chair.,present-day speech,assets/characters/cracked-head.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:1,pre,Baby Momma,Good. Put it with the others.,present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:2,pre,Cracked Head,You don't have to talk to me like I'm staff.,present-day speech,assets/characters/cracked-head.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:3,pre,Baby Momma,Staff clock in.,present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:4,pre,Church Auntie,Leave that man a little air. He got stairs to go back down.,present-day speech,assets/characters/church-auntie.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:5,pre,Baby Momma,I'm playing to run that showcase. Families get seats. Volunteers eat before the photographers.,present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:6,pre,Ganger Blue,That last rule feels personal.,present-day speech,assets/characters/ganger-blue.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:7,pre,Baby Momma,If the plate fits.,present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:8,pre,Baby Momma,You made it through five tables. Respect. Don't show up at mine expecting the same conversation.,present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:9,pre,Baby Momma,"Round three, I pick up one extra Motion. Round five, Wifey joins my side as a reinforcement card.",present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:10,pre,Wifey,My card. Actual me is sitting down.,present-day speech,assets/characters/wifey.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:pre:11,pre,Baby Momma,Two phases. One match. Winner hosts. My family business stays mine either way.,present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:post:0,post,Baby Momma,You won. Host the showcase. Keep the door open like you said.,present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:post:1,post,Cornball,Can Liquid Gold submit a vendor application?,present-day speech,assets/characters/cornball.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:post:2,post,Baby Momma,The cheese is not getting a redemption arc.,present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:post:3,post,Church Auntie,Give the winner a minute before y'all start asking for permits.,present-day speech,assets/characters/church-auntie.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:post:4,post,Cracked Head,You played like—,present-day speech,assets/characters/cracked-head.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:post:5,post,Baby Momma,Like me. I've been here the whole time.,present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:post:6,post,Cracked Head,Yeah. You have.,present-day speech,assets/characters/cracked-head.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:post:7,post,Baby Momma,Red. You make that call?,present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:post:8,post,Ganger Red,He knows we're coming.,present-day speech,assets/characters/ganger-red.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:post:9,post,Baby Momma,Then let's go. No more messages carried by men who keep the envelope.,present-day speech,assets/characters/baby-momma.webp
8,red-tapes-mama-has-the-floor,red-tapes-mama-has-the-floor:defeat:0,defeat,Baby Momma,Take your time on the rematch. I don't need you panicking just because I got quiet.,present-day speech,assets/characters/baby-momma.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:0,main,Ganger Red,Showcase host confirmed. You kept the event standing while the rest of us tried to turn it into a group argument.,present-day speech,assets/characters/ganger-red.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:1,main,Baby Momma,"Next one, the kids eat first. Put that somewhere Snitch can't crop.",present-day speech,assets/characters/baby-momma.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:2,main,Cornball,Liquid Gold respects the decision of the community.,present-day speech,assets/characters/cornball.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:3,main,Church Auntie,Then let the community bury that dispenser.,present-day speech,assets/characters/church-auntie.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:4,main,Baby Momma,Come with us. You've heard what was said. I'd like somebody there who isn't adding their own version.,present-day speech,assets/characters/baby-momma.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:5,main,OG Uncle,Red. I said call before you came.,present-day speech,assets/characters/og-uncle.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:6,main,Ganger Red,I did.,present-day speech,assets/characters/ganger-red.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:7,main,OG Uncle,You said company. This is a reckoning with a handbag.,present-day speech,assets/characters/og-uncle.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:8,main,Baby Momma,I brought something you've had four years to explain.,present-day speech,assets/characters/baby-momma.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:9,main,OG Uncle,Sit down.,present-day speech,assets/characters/og-uncle.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:10,main,Baby Momma,I'll sit when you answer. Did you tell Red not to give me this message?,present-day speech,assets/characters/baby-momma.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:11,main,OG Uncle,I told him to let you grieve.,present-day speech,assets/characters/og-uncle.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:12,main,Baby Momma,Over a man you knew was alive?,present-day speech,assets/characters/baby-momma.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:13,main,OG Uncle,Yes.,present-day speech,assets/characters/og-uncle.webp
9,red-tapes-let-her-grieve,red-tapes-let-her-grieve:main:14,main,Baby Momma,Then who exactly were you protecting?,present-day speech,assets/characters/baby-momma.webp
