scene,node_id,token,section,speaker,text,character_art,art_status
2,blue-side-pressure,blue-side-pressure:pre:0,pre,Ganger Blue,Everybody want a seat at my table. Nobody ask who built the empire.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
2,blue-side-pressure,blue-side-pressure:pre:1,pre,Wifey,Your empire is plugged into Nail Tech's bathroom. Don't nobody use that hair dryer.,02_CHARACTER_ART/wifey.webp,existing identity reference
2,blue-side-pressure,blue-side-pressure:pre:2,pre,Ganger Blue,I kept these lights on!,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
2,blue-side-pressure,blue-side-pressure:pre:3,pre,Wifey,WE kept them on. You brought a speaker and asked if we had ice.,02_CHARACTER_ART/wifey.webp,existing identity reference
2,blue-side-pressure,blue-side-pressure:pre:4,pre,Ganger Blue,Winner gets the Crown. Runs the next open-play schedule. That's real power.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
2,blue-side-pressure,blue-side-pressure:pre:5,pre,Wifey,You pick who plays at seven. You are not the mayor of Electricity.,02_CHARACTER_ART/wifey.webp,existing identity reference
2,blue-side-pressure,blue-side-pressure:pre:6,pre,Ganger Blue,You want slots for your little independent situation? Beat me right here. In front of my taxpayers.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
2,blue-side-pressure,blue-side-pressure:post:0,post,Ganger Blue,Fine. Your crew gets in. No colors. I said what I said.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
2,blue-side-pressure,blue-side-pressure:post:1,post,Wifey,And I wrote what you said. In ink. We know how your memory acts after a loss.,02_CHARACTER_ART/wifey.webp,existing identity reference
2,blue-side-pressure,blue-side-pressure:post:2,post,Ganger Blue,Red's over there filming everything. Go be somebody else's emergency.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
2,blue-side-pressure,blue-side-pressure:post:3,post,Wifey,Take the big entrance. He been practicing his disappointed face since lunch.,02_CHARACTER_ART/wifey.webp,existing identity reference
2,blue-side-pressure,blue-side-pressure:defeat:0,defeat,Ganger Blue,You came for the Crown and left with a learning experience. Shuffle up.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:pre:0,pre,Ganger Red,I watched your match. Then I watched Blue explain your match. That's two different genres.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:pre:1,pre,Snitch,His explanation got more views. Facts need better lighting.,02_CHARACTER_ART/snitch.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:pre:2,pre,Ganger Red,Film both sides of the table. Last time your thumb had more screen time than the winner.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:pre:3,pre,Ganger Red,Middle district closes in round two. Both of us. That orange barrier ain't an aesthetic.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:pre:4,pre,Snitch,Damn. You doing the safety briefing before the beatdown?,02_CHARACTER_ART/snitch.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:pre:5,pre,Ganger Red,I'm removing your excuses in alphabetical order.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:pre:6,pre,Ganger Red,Win and your name goes forward. Whole match stays up. No cousins in the comments demanding a recount.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:post:0,post,Snitch,I got the PERFECT title. LOCAL MAN HUMILIATED IN FRONT OF HIS OWN PHONE.,02_CHARACTER_ART/snitch.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:post:1,post,Ganger Red,Keep the beginning. They earned the win. You didn't discover it.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:post:2,post,Ganger Red,Your name goes forward. One more Red Side test. Don't turn a good afternoon into a personality.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:post:3,post,Snitch,Too late. Blue's already posted a paragraph with no punctuation.,02_CHARACTER_ART/snitch.webp,existing identity reference
3,receipts-on-camera,receipts-on-camera:defeat:0,defeat,Ganger Red,I explained the barrier. I pointed at the barrier. What part of orange betrayed you?,02_CHARACTER_ART/ganger-red.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:pre:0,pre,Ganger Red,"My auntie called. Said if I lose again, don't bring the Red Side banner to her cookout.",02_CHARACTER_ART/ganger-red.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:pre:1,pre,Ganger Blue,That's family accountability. Beautiful to see.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:pre:2,pre,Ganger Red,You lost twice and called it community outreach. Put that plate down.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:pre:3,pre,Ganger Blue,Hold up. Why you got that program?,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:pre:4,pre,Ganger Red,It was in the notebook.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:pre:5,pre,Ganger Blue,"That's my brother, Red. Four years. You carrying his memorial next to a tournament bracket?",02_CHARACTER_ART/ganger-blue.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:pre:6,pre,Ganger Red,Cracked Head taught us this table. I kept it. That's all I'm saying.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:pre:7,pre,Ganger Red,"One more match. Win, I sign your final entry. Save some Motion. I'm not coming gentle in round four.",02_CHARACTER_ART/ganger-red.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:post:0,post,Ganger Red,You won. I'll sign. Somebody tell my auntie I'm still bringing the potato salad.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:post:1,post,Ganger Blue,Don't put that program on the stream.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:post:2,post,Ganger Red,I wasn't going to.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:post:3,post,Ganger Blue,Yeah. You got a whole museum of shit you weren't going to.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:post:4,post,Ganger Red,Snitch has the contender sheet up the hill. Get there before he puts your entry behind a subscription.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
4,red-side-retaliation,red-side-retaliation:defeat:0,defeat,Ganger Red,You spent all your Motion getting comfortable. I told you I was coming back.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
5,side-alley-challenge,side-alley-challenge:pre:0,pre,Alley Runner,Main route's over there. This table's optional. I know. A choice. We don't get many of those around here.,,"DEDICATED ART MISSING; game borrows Blue portrait, not an approved distinct identity"
5,side-alley-challenge,side-alley-challenge:pre:1,pre,Cornball,I've opened a case against this machine. Three dollars missing. Suspect refuses to blink.,02_CHARACTER_ART/cornball.webp,existing identity reference
5,side-alley-challenge,side-alley-challenge:pre:2,pre,Alley Runner,That's the display window. Your drink's behind the flap.,,"DEDICATED ART MISSING; game borrows Blue portrait, not an approved distinct identity"
5,side-alley-challenge,side-alley-challenge:pre:3,pre,Cornball,Then why they got it behind glass like a damn museum piece?,02_CHARACTER_ART/cornball.webp,existing identity reference
5,side-alley-challenge,side-alley-challenge:pre:4,pre,Alley Runner,"Win here, you get a cardback tag. No crew tax. No uncle you gotta impress.",,"DEDICATED ART MISSING; game borrows Blue portrait, not an approved distinct identity"
5,side-alley-challenge,side-alley-challenge:pre:5,pre,Alley Runner,Watch the whole table. I move around. Unlike your boy's investigation.,,"DEDICATED ART MISSING; game borrows Blue portrait, not an approved distinct identity"
5,side-alley-challenge,side-alley-challenge:post:0,post,Alley Runner,"Tag's yours. If anybody asks what side you're on, show 'em the back of the card.",,"DEDICATED ART MISSING; game borrows Blue portrait, not an approved distinct identity"
5,side-alley-challenge,side-alley-challenge:post:1,post,Cornball,Got my drink. Room temperature. That's how they serve revenge.,02_CHARACTER_ART/cornball.webp,existing identity reference
5,side-alley-challenge,side-alley-challenge:post:2,post,Alley Runner,"Watch Snitch. He waits till people run out of answers, then starts acting like he invented the question.",,"DEDICATED ART MISSING; game borrows Blue portrait, not an approved distinct identity"
5,side-alley-challenge,side-alley-challenge:post:3,post,Cornball,He charged me to correct my own birthday post.,02_CHARACTER_ART/cornball.webp,existing identity reference
5,side-alley-challenge,side-alley-challenge:post:4,post,Alley Runner,Keep something for the late rounds. Let him interview the loss.,,"DEDICATED ART MISSING; game borrows Blue portrait, not an approved distinct identity"
5,side-alley-challenge,side-alley-challenge:defeat:0,defeat,Alley Runner,Run it back. Only thing charging interest here is that man's grudge against a soda machine.,,"DEDICATED ART MISSING; game borrows Blue portrait, not an approved distinct identity"
6,snitch-at-the-corner,snitch-at-the-corner:pre:0,pre,Snitch,"Look who survived both sides. Independent crew, undefeated attitude. Your documentary just got a second episode.",02_CHARACTER_ART/snitch.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:pre:1,pre,Ganger Red,Post the contender sheet. You are not the Department of Outside.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:pre:2,pre,Snitch,One qualifier. Same as everybody. This is a professional operation.,02_CHARACTER_ART/snitch.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:pre:3,pre,Ganger Red,You're sitting on an air fryer. Who asked you for the footage?,02_CHARACTER_ART/ganger-red.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:pre:4,pre,Snitch,A returning customer. Very emotional demographic.,02_CHARACTER_ART/snitch.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:pre:5,pre,Snitch,"I watched your matches. Round four, I get active. That's when the subscription renews.",02_CHARACTER_ART/snitch.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:pre:6,pre,Ganger Red,Two extra Motion. Keep some for it. The ring light doesn't make him mysterious.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:pre:7,pre,Snitch,Could you stop reading my damn business model out loud?,02_CHARACTER_ART/snitch.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:post:0,post,Snitch,Your slot's up. Don't tag me in the celebration. I'm rebranding.,02_CHARACTER_ART/snitch.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:post:1,post,Ganger Red,Who is the other finalist?,02_CHARACTER_ART/ganger-red.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:post:2,post,Snitch,They paid for an entrance. I'm contractually obligated to let this get messy.,02_CHARACTER_ART/snitch.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:post:3,post,Ganger Red,You made a contract?,02_CHARACTER_ART/ganger-red.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:post:4,post,Snitch,Voice note and a deposit. That's a contract with feelings.,02_CHARACTER_ART/snitch.webp,existing identity reference
6,snitch-at-the-corner,snitch-at-the-corner:defeat:0,defeat,Snitch,"That ending needs work. Lucky for you, humiliation comes with unlimited reshoots.",02_CHARACTER_ART/snitch.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:0,pre,Ganger Blue,"Oh, hell no. Not in the hoodie we buried on the flyer.",02_CHARACTER_ART/ganger-blue.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:1,pre,Cracked Head,"What's good, little brother?",02_CHARACTER_ART/cracked-head.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:2,pre,Ganger Blue,WHAT'S GOOD? I put your face on shirts! I argued with the printer about your damn hairline!,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:3,pre,Cracked Head,Blue. I'm standing right here.,02_CHARACTER_ART/cracked-head.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:4,pre,Ganger Blue,That's the problem! We had a memorial! There was a slideshow! You smiled in transition number SIX!,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:5,pre,Ganger Red,Snitch. Camera down. Right now.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:6,pre,Snitch,I'm live on two phones. I don't even know which one to disappoint first.,02_CHARACTER_ART/snitch.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:7,pre,Cracked Head,Let it run. Everybody got something to say about me. They can say it while I'm here.,02_CHARACTER_ART/cracked-head.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:8,pre,Ganger Blue,"Four years, no call. But you found the championship? Your GPS don't work for family?",02_CHARACTER_ART/ganger-blue.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:9,pre,Cracked Head,I came back for what's mine.,02_CHARACTER_ART/cracked-head.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:10,pre,Ganger Red,"That chair ain't yours. They earned it. You want the Crown, play the finalist.",02_CHARACTER_ART/ganger-red.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:pre:11,pre,Cracked Head,"All right, new face. Pull up. Let's see if the block got better or just louder.",02_CHARACTER_ART/cracked-head.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:post:0,post,Cracked Head,You got me. Crown's yours. Don't make me regret saying it in front of all these phones.,02_CHARACTER_ART/cracked-head.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:post:1,post,Ganger Blue,Look at that. He can acknowledge a stranger. Somebody get this miracle on the church calendar.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:post:2,post,Cracked Head,"Blue, give me a damn minute.",02_CHARACTER_ART/cracked-head.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:post:3,post,Ganger Blue,You had four years. That's a lot of damn minutes.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:post:4,post,Ganger Red,The result stands. Family meeting is a different table.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:post:5,post,Cracked Head,I'll be back at this one.,02_CHARACTER_ART/cracked-head.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:post:6,post,Ganger Red,Then sign up. The ghost discount expired.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
7,cracked-head-takes-the-block,cracked-head-takes-the-block:defeat:0,defeat,Cracked Head,You chasing every district like somebody yelled FREE PLATES. Pick your ground.,02_CHARACTER_ART/cracked-head.webp,existing identity reference
8,block-crowned,block-crowned:main:0,main,Ganger Red,"We got a winner. Crown, schedule, seat for your crew. Please don't start appointing cousins to positions.",02_CHARACTER_ART/ganger-red.webp,existing identity reference
8,block-crowned,block-crowned:main:1,main,Wifey,Open play means everybody. I'm laminating this. Y'all respect plastic more than a promise.,02_CHARACTER_ART/wifey.webp,existing identity reference
8,block-crowned,block-crowned:main:2,main,Ganger Blue,I'll bring the lights. Don't make a whole announcement about it.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
8,block-crowned,block-crowned:main:3,main,Cornball,I'll bring drinks. Bought from a human. With witnesses.,02_CHARACTER_ART/cornball.webp,existing identity reference
8,block-crowned,block-crowned:main:4,main,Snitch,"Everybody squeeze in. Winner in the middle, resurrected gentleman slightly to the—",02_CHARACTER_ART/snitch.webp,existing identity reference
8,block-crowned,block-crowned:main:5,main,Baby Momma,Unplug whatever is making you comfortable.,02_CHARACTER_ART/baby-momma.webp,existing identity reference
8,block-crowned,block-crowned:main:6,main,Snitch,We're just doing a little celebration—,02_CHARACTER_ART/snitch.webp,existing identity reference
8,block-crowned,block-crowned:main:7,main,Baby Momma,I see. Four years dead and his ass somehow found VIP.,02_CHARACTER_ART/baby-momma.webp,existing identity reference
8,block-crowned,block-crowned:main:8,main,Cracked Head,I was coming to see you.,02_CHARACTER_ART/cracked-head.webp,existing identity reference
8,block-crowned,block-crowned:main:9,main,Baby Momma,When? After the press tour? My address ain't changed. Even the pizza man knows when I'm upset.,02_CHARACTER_ART/baby-momma.webp,existing identity reference
8,block-crowned,block-crowned:main:10,main,Cracked Head,Can we do this somewhere private?,02_CHARACTER_ART/cracked-head.webp,existing identity reference
8,block-crowned,block-crowned:main:11,main,Baby Momma,NOW you believe in privacy. Came through that door with smoke and a church organ like you got a season finale.,02_CHARACTER_ART/baby-momma.webp,existing identity reference
8,block-crowned,block-crowned:main:12,main,Ganger Red,Before y'all go. I got something she needs to hear.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
8,block-crowned,block-crowned:main:13,main,Baby Momma,Red. That envelope better be an apology with direct deposit.,02_CHARACTER_ART/baby-momma.webp,existing identity reference
8,block-crowned,block-crowned:main:14,main,Ganger Red,It's a recording. From him. Four years ago.,02_CHARACTER_ART/ganger-red.webp,existing identity reference
8,block-crowned,block-crowned:main:15,main,Baby Momma,"Four years? Oh, put the chairs back. Apparently BOTH of y'all got a presentation.",02_CHARACTER_ART/baby-momma.webp,existing identity reference
